feat_id,feat_name,model_feat_imp_train,feat_rank_train,feat_description
1,team_pom_advantage,12.268469362672775,1,
2,team_dot_diff_last15_ratio,11.077536305237167,2,
3,team_count_wickets_last15,10.108906917954297,3,
4,team_sixes_fours_last15_ratio,9.964264457016538,4,
5,team_maiden_last15_ratio,8.457390403721329,5,
6,team_count_50runs_last15,6.796451738961575,6,Ratio of number of 50s by players in team1 to number of 50s by players in team2 in last 15 games
7,team1only_avg_runs_last15,5.179190475976757,7,team1's avg inning runs in last 15 games
8,team_winp_last5,4.2823923305725415,8,Ratio of team1's win % to team2's win % in last 5 games
9,team_bat_field_win_ratio_last15,4.184247371393958,9,
10,team_winamount_last15_ground,4.113774073767845,10,
